dmc,name,hex,red,green,blue
680,Old Gold Dark,BC8D0E,188,141,14
699,Green,﻿056517,5,101,23
700,Green Bright,07731B,7,115,27
701,Green Light,3F8F29,63,143,41
702,Kelly Green,47A72F,71,167,47
703,Chartreuse,7BB547,123,181,71
704,Chartreuse Bright,9ECF34,158,207,52
712,Cream,FFFBEF,255,251,239
718,Plum,9C2462,156,36,98
720,Orange Spice Dark,E55C1F,229,92,31
721,Orange Spice Med,F27842,242,120,66
722,Orange Spice Light,F7976F,247,151,111
725,Topaz Med Lt,FFC840,255,200,64
726,Topaz Light,FDD755,253,215,85
727,Topaz Vy Lt,FFF1AF,255,241,175
728,Topaz,E4B468,228,180,104
729,Old Gold Medium,D0A53E,208,165,62
730,Olive Green V Dk,827B30,130,123,48
731,Olive Green Dk,938B37,147,139,55
732,Olive Green,948C36,148,140,54
733,Olive Green Md,BCB34C,188,179,76
734,Olive Green Lt,C7C077,199,192,119
738,Tan Very Light,ECCC9E,236,204,158
739,Tan Ult Vy Lt,F8E4C8,248,228,200
740,Tangerine,FF8B00,255,139,0
741,Tangerine Med,FFA32B,255,163,43
742,Tangerine Light,FFBF57,255,191,87
743,Yellow Med,FED376,254,211,118
744,Yellow Pale,FFE793,255,231,147
745,Yellow Pale Light,FFE9AD,255,233,173
746,Off White,FCFCEE,252,252,238
747,Peacock Blue Vy Lt,E5FCFD,229,252,253
754,Peach Light,F7CBBF,247,203,191
758,Terra Cotta Vy Lt,EEAA9B,238,170,155
760,Salmon,F5ADAD,245,173,173
761,Salmon Light,FFC9C9,255,201,201
762,Pearl Gray Vy Lt,ECECEC,236,236,236
772,Yellow Green Vy Lt,E4ECD4,228,236,212
775,Baby Blue Very Light,D9EBF1,217,235,241
776,Pink Medium,FCB0B9,252,176,185
777,Raspberry Very Dark,913546,145,53,70
778,Antique Mauve Vy Lt,DFB3BB,223,179,187
779,Cocoa Dark,624B45,98,75,69
780,Topaz Ultra Vy Dk,94631A,148,99,26
781,Topaz Very Dark,A26D20,162,109,32
782,Topaz Dark,AE7720,174,119,32
783,Topaz Medium,CE9124,206,145,36
791,Cornflower Blue V D,464563,70,69,99
792,Cornflower Blue Dark,555B7B,85,91,123
793,Cornflower Blue Med,707DA2,112,125,162
794,Cornflower Blue Light,8F9CC1,143,156,193
796,Royal Blue Dark,11416D,17,65,109
797,Royal Blue,13477D,19,71,125
798,Delft Blue Dark,466A8E,70,106,142
799,Delft Blue Medium,748EB6,116,142,182
800,Delft Blue Pale,C0CCDE,192,204,222
801,Coffee Brown Dk,653919,101,57,25
803,Baby Blue Ult Vy Dk,2C597C,44,89,124
806,Peacock Blue Dark,3D95A5,61,149,165
807,Peacock Blue,64ABBA,100,171,186
809,Delft Blue,94A8C6,148,168,198
813,Blue Light,A1C2D7,161,194,215
814,Garnet Dark,7B001B,123,0,27
815,Garnet Medium,87071F,135,7,31
816,Garnet,970B23,151,11,35
817,Coral Red Very Dark,BB051F,187,5,31
818,Baby Pink,FFDFD9,255,223,217
819,Baby Pink Light,FFEEEB,255,238,235
820,Royal Blue Very Dark,0E365C,14,54,92
822,Beige Gray Light,E7E2D3,231,226,211
823,Navy Blue Dark,213063,33,48,99
824,Blue Very Dark,396987,57,105,135
825,Blue Dark,4781A5,71,129,165
826,Blue Medium,6B9EBF,107,158,191
827,Blue Very Light,BDDDED,189,221,237
828,Sky Blue Vy Lt,C5E8ED,197,232,237
829,Golden Olive Vy Dk,7E6B42,126,107,66
830,Golden Olive Dk,8D784B,141,120,75
831,Golden Olive Md,AA8F56,170,143,86
832,Golden Olive,BD9B51,189,155,81
833,Golden Olive Lt,C8AB6C,200,171,108
834,Golden Olive Vy Lt,DBBE7F,219,190,127
838,Beige Brown Vy Dk,594937,89,73,55
839,Beige Brown Dk,675541,103,85,65
840,Beige Brown Med,9A7C5C,154,124,92
841,Beige Brown Lt,B69B7E,182,155,126
842,Beige Brown Vy Lt,D1BAA1,209,186,161
844,Beaver Gray Ult Dk,484848,72,72,72
869,Hazelnut Brown V Dk,﻿835E39,131,94,57
890,Pistachio Grn Ult V D,﻿174923,23,73,35
891,Carnation Dark,FF5773,255,87,115
892,Carnation Medium,FF798C,255,121,140
893,Carnation Light,FC90A2,252,144,162
894,Carnation Very Light,FFB2BB,255,178,187
895,Hunter Green Vy Dk,1B5300,27,83,0
898,Coffee Brown Vy Dk,492A13,73,42,19
899,Rose Medium,F27688,242,118,136
900,Burnt Orange Dark,D15807,209,88,7
902,Garnet Very Dark,822637,130,38,55
904,Parrot Green V Dk,557822,85,120,34
905,Parrot Green Dk,628A28,98,138,40
906,Parrot Green Md,7FB335,127,179,53
907,Parrot Green Lt,C7E666,199,230,102
909,Emerald Green Vy Dk,156F49,21,111,73
910,Emerald Green Dark,﻿187E56,24,126,86
911,Emerald Green Med,189065,24,144,101
912,Emerald Green Lt,1B9D6B,27,157,107
